Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Frosinone","resident population (absolute values)","total","total",492661,
"all items","total","all items","2011","Pescara","elder for child","total","total",3.94,
"all items","total","all items","2011","Frosinone","population aged 85 and over (percentage values)","females","85 years and over",67.58,
"all items","total","all items","2011","Abruzzo","resident population (percentage values)","total","85 years and over",3.23,
"all items","total","all items","2011","Macerata","sex ratio","total","total",93.89,
"all items","total","all items","2011","Roma","resident population (absolute values)","total","65 years and over",808947,
"all items","total","all items","2011","Frosinone","resident population (percentage values)","total","until 5 years",5.1,
"all items","total","all items","2011","Teramo","resident population (absolute values)","total","until 4 years",13183,
"all items","total","all items","2011","Abruzzo","resident population (absolute values)","total","75 years and over",149997,
"all items","total","all items","2011","Chieti","population aged 85 and over (percentage values)","females","85 years and over",66.96,
"all items","total","all items","2011","Latina","resident population (absolute values)","females","until 4 years",12635,
"all items","total","all items","2011","Roma","sex ratio","total","total",90.83,
"all items","total","all items","2011","Latina","resident population (percentage values)","total","until 4 years",4.72,
"all items","total","all items","2011","Ascoli Piceno","population aged 65 and over (percentage values)","females","65 years and over",56.69,
"all items","total","all items","2011","Chieti","resident population (absolute values)","total","65 years and over",86455,
"all items","total","all items","2011","Pescara","population aged 85 and over (percentage values)","females","85 years and over",67.78,
"all items","total","all items","2011","Rieti","resident population (percentage values)","total","75 years and over",12.31,
"all items","total","all items","2011","Latina","resident population (absolute values)","total","until 5 years",30831,
"all items","total","all items","2011","Chieti","resident population (percentage values)","total","until 4 years",4.19,
"all items","total","all items","2011","L'Aquila","resident population (absolute values)","total","75 years and over",35484,
"all items","total","all items","2011","Lazio","resident population (absolute values)","total","65 years and over",1112431,
"all items","total","all items","2011","Lazio","dependency ratio ","total","total",51.56,
"all items","total","all items","2011","Abruzzo","population aged 85 and over (percentage values)","females","85 years and over",67.87,
"all items","total","all items","2011","Rieti","resident population (percentage values)","total","85 years and over",3.65,
"all items","total","all items","2011","Ascoli Piceno","resident population (percentage values)","total","85 years and over",3.45,
"all items","total","all items","2011","Latina","resident population (absolute values)","total","total",544732,
"all items","total","all items","2011","Sud","resident population (absolute values)","total","65 years and over",2567179,
